status,ticket_id,priority,source,topic,agent_group,agent_name,created_time,expected_sla_to_resolve,expected_sla_to_first response,first_response_time,sla_for_first response,resolution_time,sla_for_resolution,close_time,agent_interactions,survey_results,product_group,support_level,country,latitude,longitude
Closed,TCKT-100010,Critical,Phone,General Inquiry,IT Support,Agent 20,16-05-2024 01:33,16-05-2024 02:33,16-05-2024 01:43,16-05-2024 01:38,Met,16-05-2024 02:26,Met,16-05-2024 02:29,3,Neutral,Cloud,L2,Qatar,23.2732,52.851
Closed,TCKT-100011,Medium,Phone,Access Request,IT Support,Agent 28,20-07-2024 02:48,20-07-2024 05:48,20-07-2024 03:33,20-07-2024 03:30,Met,20-07-2024 05:40,Met,20-07-2024 05:40,2,Neutral,Network,L2,Bahrain,24.8378,53.4506
Open,TCKT-100012,Critical,Chat,Hardware Failure,IT Support,Agent 52,10-08-2024 02:56,10-08-2024 03:56,10-08-2024 03:06,10-08-2024 03:06,Met,10-08-2024 03:44,Met,10-08-2024 03:48,5,Satisfied,Hardware,L2,Kuwait,24.8304,51.6136
Closed,TCKT-100021,Medium,Portal,Software Bug,IT Support,Agent 76,09-05-2024 23:25,10-05-2024 02:25,10-05-2024 00:10,10-05-2024 00:01,Met,10-05-2024 03:43,Breached,10-05-2024 02:18,5,Neutral,Hardware,L3,Oman,23.3664,54.8132
Open,TCKT-100023,Critical,Email,Hardware Failure,IT Support,Agent 22,05-05-2024 03:28,05-05-2024 04:28,05-05-2024 03:38,05-05-2024 03:36,Met,05-05-2024 07:10,Breached,05-05-2024 04:15,5,Satisfied,Network,L1,Oman,25.0115,50.6012
Closed,TCKT-100032,High,Portal,Network Issue,IT Support,Agent 7,19-05-2024 05:33,19-05-2024 07:33,19-05-2024 06:03,19-05-2024 05:53,Met,19-05-2024 07:31,Met,19-05-2024 07:32,5,Neutral,Software,L1,Saudi Arabia,22.7645,50.2127
New,TCKT-100036,Critical,Email,Software Bug,IT Support,Agent 64,21-07-2024 13:25,21-07-2024 14:25,21-07-2024 13:35,21-07-2024 13:32,Met,21-07-2024 14:15,Met,21-07-2024 14:19,2,Very Satisfied,Software,L1,Qatar,23.8314,52.1344
New,TCKT-100039,Critical,Phone,General Inquiry,IT Support,Agent 68,10-08-2024 13:54,10-08-2024 14:54,10-08-2024 14:04,10-08-2024 13:57,Met,10-08-2024 17:52,Breached,10-08-2024 14:57,4,Dissatisfied,Software,L3,Oman,22.2163,51.856
Resolved,TCKT-100052,High,Phone,Network Issue,IT Support,Agent 7,06-08-2024 11:23,06-08-2024 13:23,06-08-2024 11:53,06-08-2024 11:43,Met,06-08-2024 13:12,Met,06-08-2024 13:12,5,Satisfied,Hardware,L1,Saudi Arabia,24.1202,50.6249
Closed,TCKT-100069,Critical,Phone,Access Request,IT Support,Agent 30,20-05-2024 01:20,20-05-2024 02:20,20-05-2024 01:30,20-05-2024 01:22,Met,20-05-2024 02:07,Met,20-05-2024 02:10,3,Very Satisfied,Network,L2,Qatar,22.5566,52.6268
